date,T2M,RH2M,PRECTOTCORR,division
2007-05-05,31.46,65.16,0.02,Barisal
2007-05-06,32.02,62.56,0.23,Barisal
2007-05-07,30.68,65.54,0.4,Barisal
2007-05-08,29.96,65.56,0.44,Barisal
2007-05-09,29.29,73.94,11.7,Barisal
2007-05-10,29.51,72.27,10.61,Barisal
2007-05-11,30.12,72.96,0.72,Barisal
2007-05-12,29.88,72.84,0.73,Barisal
2007-05-13,30.46,65.45,0.36,Barisal
2007-05-14,27.62,79.66,24.63,Barisal
2007-05-15,28.23,75.0,9.6,Barisal
2007-05-16,29.5,74.61,2.82,Barisal
2007-05-17,28.04,82.96,4.64,Barisal
2007-05-18,28.09,81.12,7.28,Barisal
2007-05-19,28.23,82.08,16.93,Barisal
2007-05-20,28.86,83.83,19.12,Barisal
2007-05-21,28.48,85.46,12.46,Barisal
2007-05-22,29.44,81.08,0.79,Barisal
2007-05-23,29.28,84.37,0.17,Barisal
2007-05-24,28.81,88.25,3.96,Barisal
2007-05-25,28.77,85.83,3.55,Barisal
2007-05-26,28.53,82.82,0.28,Barisal
2007-05-27,29.12,83.81,3.67,Barisal
2007-05-28,29.18,84.64,6.05,Barisal
2007-05-29,29.49,81.1,0.0,Barisal
2007-05-30,29.7,82.09,0.0,Barisal
2007-05-31,30.19,77.6,0.0,Barisal
2007-06-01,29.68,82.03,0.13,Barisal
2007-06-02,29.7,81.7,0.65,Barisal
2007-06-03,29.65,84.49,8.55,Barisal
2007-06-04,29.63,82.91,11.21,Barisal
2007-06-05,29.1,83.64,5.58,Barisal
2007-06-06,28.95,83.47,1.19,Barisal
2007-06-07,28.99,82.61,16.76,Barisal
2007-06-08,29.04,86.37,63.64,Barisal
2007-06-09,28.98,86.89,7.71,Barisal
2007-06-10,28.24,91.29,37.4,Barisal
2007-06-11,28.7,92.82,53.45,Barisal
2007-06-12,28.5,89.52,69.64,Barisal
2007-06-13,27.88,90.94,25.62,Barisal
2007-06-14,28.29,86.19,2.95,Barisal
2007-06-15,27.96,92.79,44.44,Barisal
2007-06-16,28.21,91.17,33.67,Barisal
2007-06-17,28.28,91.23,32.01,Barisal
2007-06-18,27.93,92.49,19.16,Barisal
2007-06-19,28.37,90.04,1.36,Barisal
2007-06-20,28.94,85.62,2.22,Barisal
2007-06-21,28.93,87.99,1.52,Barisal
2007-06-22,28.71,90.23,5.04,Barisal
2007-06-23,28.51,89.57,8.06,Barisal
2007-06-24,28.23,88.85,9.09,Barisal
2007-06-25,28.38,88.86,4.69,Barisal
2007-06-26,28.72,88.31,0.91,Barisal
2007-06-27,28.7,89.25,1.67,Barisal
2007-06-28,28.84,88.99,15.57,Barisal
2007-06-29,28.64,89.22,17.99,Barisal
2007-06-30,28.26,91.15,24.25,Barisal
2007-07-01,28.33,91.97,42.98,Barisal
2007-07-02,28.05,93.44,26.43,Barisal
2007-07-03,27.89,93.64,11.23,Barisal
2007-07-04,27.84,93.97,29.67,Barisal
2007-07-05,28.68,90.88,57.01,Barisal
2007-07-06,28.01,91.09,21.14,Barisal
2007-07-07,27.62,92.2,20.21,Barisal
2007-07-08,27.84,89.49,15.02,Barisal
2007-07-09,28.48,88.5,7.43,Barisal
2007-07-10,28.38,90.27,5.58,Barisal
2007-07-11,28.33,88.52,0.33,Barisal
2007-07-12,29.35,86.07,0.14,Barisal
2007-07-13,29.11,91.09,0.45,Barisal
2007-07-14,28.86,91.2,1.17,Barisal
2007-07-15,28.64,92.56,18.83,Barisal
2007-07-16,28.55,91.05,32.6,Barisal
2007-07-17,28.65,92.82,24.48,Barisal
2007-07-18,28.3,91.46,35.56,Barisal
2007-07-19,28.42,93.83,71.91,Barisal
2007-07-20,27.65,93.58,48.17,Barisal
2007-07-21,27.62,92.28,46.97,Barisal
2007-07-22,27.04,92.2,17.92,Barisal
2007-07-23,27.5,90.85,14.91,Barisal
2007-07-24,27.27,90.87,15.48,Barisal
2007-07-25,27.52,90.63,13.3,Barisal
2007-07-26,27.24,92.02,30.35,Barisal
2007-07-27,26.81,93.27,38.71,Barisal
2007-07-28,26.85,91.86,15.44,Barisal
2007-07-29,27.01,91.82,5.58,Barisal
2007-07-30,28.23,87.99,0.76,Barisal
2007-07-31,27.97,88.68,7.01,Barisal
2007-08-01,27.98,88.89,10.07,Barisal
2007-08-02,27.21,91.07,6.38,Barisal
2007-08-03,27.71,89.53,0.16,Barisal
2007-08-04,28.39,89.05,0.35,Barisal
2007-08-05,28.6,89.81,0.75,Barisal
2007-08-06,28.4,89.05,5.29,Barisal
2007-08-07,28.37,88.41,5.96,Barisal
2007-08-08,28.46,88.43,5.32,Barisal
2007-08-09,29.5,84.23,0.34,Barisal
2007-08-10,29.51,87.14,6.8,Barisal
2007-08-11,28.67,92.72,43.35,Barisal
2007-08-12,28.04,92.64,10.05,Barisal
2007-08-13,27.87,91.97,33.95,Barisal
2007-08-14,27.95,90.85,20.69,Barisal
2007-08-15,28.26,91.64,27.25,Barisal
2007-08-16,28.01,93.62,2.62,Barisal
2007-08-17,27.72,91.08,11.3,Barisal
2007-08-18,27.53,92.41,8.98,Barisal
2007-08-19,27.3,91.0,1.08,Barisal
2007-08-20,27.6,89.45,1.37,Barisal
2007-08-21,28.13,87.0,0.7,Barisal
2007-08-22,27.95,88.63,0.89,Barisal
2007-08-23,27.62,89.76,5.81,Barisal
2007-08-24,27.05,92.14,20.97,Barisal
2007-08-25,26.85,92.6,8.89,Barisal
2007-08-26,27.19,92.13,32.24,Barisal
2007-08-27,26.91,90.24,16.81,Barisal
2007-08-28,27.53,89.8,1.06,Barisal
2007-08-29,27.36,91.28,2.01,Barisal
2007-08-30,27.98,88.45,2.32,Barisal
2007-08-31,27.98,88.2,3.53,Barisal
2007-09-01,27.92,88.19,2.32,Barisal
2007-09-02,28.31,89.1,5.65,Barisal
2007-09-03,28.12,91.39,12.94,Barisal
2007-09-04,27.73,92.52,10.0,Barisal
2007-09-05,27.66,93.3,30.97,Barisal
2007-09-06,27.74,93.26,43.84,Barisal
2007-09-07,27.38,92.79,64.01,Barisal
2007-09-08,27.59,93.24,33.87,Barisal
2007-09-09,27.55,94.25,11.05,Barisal
2007-09-10,27.85,92.55,4.66,Barisal
2007-09-11,27.91,92.83,1.79,Barisal
2007-09-12,27.55,90.66,1.4,Barisal
2007-09-13,27.34,89.21,0.45,Barisal
2007-09-14,27.26,90.94,0.3,Barisal
2007-09-15,27.45,91.26,2.09,Barisal
2007-09-16,27.5,90.85,1.83,Barisal
2007-09-17,28.26,85.88,6.13,Barisal
2007-09-18,28.05,87.24,12.8,Barisal
2007-09-19,28.0,87.32,7.19,Barisal
2007-09-20,27.76,88.74,9.51,Barisal
2007-09-21,27.08,91.37,1.12,Barisal
2007-09-22,26.9,89.57,1.75,Barisal
2007-09-23,26.76,91.67,27.23,Barisal
2007-09-24,26.99,92.36,9.08,Barisal
2007-09-25,26.58,91.22,4.05,Barisal
2007-09-26,27.55,84.67,0.0,Barisal
2007-09-27,27.53,87.99,0.0,Barisal
2007-09-28,27.14,89.14,0.0,Barisal
2007-09-29,27.14,88.52,4.78,Barisal
2007-09-30,27.66,83.61,6.74,Barisal
2007-10-01,27.85,84.5,0.3,Barisal
2007-10-02,27.89,87.13,0.43,Barisal
2007-10-03,27.72,88.62,0.23,Barisal
2007-10-04,27.73,88.33,0.0,Barisal
2007-10-05,28.13,87.24,0.0,Barisal
2007-10-06,27.6,89.7,12.87,Barisal
2007-10-07,27.24,94.55,48.79,Barisal
2007-10-08,26.71,91.45,117.08,Barisal
2007-10-09,27.02,87.76,24.99,Barisal
2007-10-10,26.82,86.45,0.65,Barisal
2007-10-11,27.21,81.15,2.38,Barisal
2007-10-12,27.67,78.03,0.32,Barisal
2007-10-13,27.64,82.36,0.98,Barisal
2007-10-14,26.47,90.39,2.38,Barisal
2007-10-15,26.05,92.49,32.08,Barisal
2007-10-16,26.65,92.92,85.5,Barisal
2007-10-17,26.17,90.42,3.9,Barisal
2007-10-18,25.95,84.71,5.46,Barisal
2007-10-19,26.06,83.01,5.16,Barisal
2007-10-20,25.89,86.12,3.91,Barisal
2007-10-21,24.68,80.73,0.23,Barisal
2007-10-22,24.32,81.8,0.0,Barisal
2007-10-23,23.46,86.01,0.0,Barisal
2007-10-24,23.57,85.28,0.0,Barisal
2007-10-25,23.37,85.27,0.0,Barisal
2007-10-26,23.1,82.41,0.0,Barisal
2007-10-27,23.12,80.33,0.0,Barisal
2007-10-28,23.36,80.82,0.0,Barisal
2007-10-29,23.38,85.53,0.0,Barisal
2007-10-30,24.72,85.81,0.0,Barisal
2007-10-31,24.93,85.03,3.63,Barisal
2007-11-01,24.66,86.56,0.05,Barisal
2007-11-02,24.81,85.76,1.79,Barisal
2007-11-03,24.75,80.92,7.84,Barisal
2007-11-04,24.71,82.17,0.0,Barisal
2007-11-05,25.14,76.8,0.0,Barisal
2007-11-06,25.9,70.97,0.0,Barisal
2007-11-07,25.74,75.65,0.0,Barisal
2007-11-08,24.98,82.35,0.2,Barisal
2007-11-09,24.93,83.51,0.55,Barisal
2007-11-10,24.49,85.5,2.78,Barisal
2007-11-11,24.42,84.26,0.0,Barisal
2007-11-12,23.54,84.36,0.0,Barisal
2007-11-13,22.73,80.51,0.0,Barisal
2007-11-14,23.13,79.95,0.77,Barisal
2007-11-15,24.38,90.02,54.7,Barisal
2007-11-16,24.17,88.7,12.78,Barisal
2007-11-17,22.44,83.92,0.0,Barisal
2007-11-18,22.39,87.89,0.0,Barisal
2007-11-19,22.1,89.02,0.0,Barisal
2007-11-20,21.61,88.2,0.0,Barisal
2007-11-21,21.44,86.28,0.0,Barisal
2007-11-22,21.68,87.93,0.0,Barisal
2007-11-23,22.28,88.49,0.0,Barisal
2007-11-24,22.63,88.72,0.0,Barisal
2007-11-25,22.13,85.02,0.0,Barisal
2007-11-26,21.11,83.68,0.0,Barisal
2007-11-27,20.55,83.89,0.0,Barisal
2007-11-28,20.49,82.56,0.0,Barisal
2007-11-29,21.41,80.95,0.0,Barisal
2007-11-30,22.35,80.03,0.0,Barisal
2007-12-01,22.35,71.86,0.0,Barisal
2007-12-02,21.64,74.24,0.0,Barisal
2007-12-03,21.09,77.86,0.0,Barisal
2007-12-04,19.85,82.62,0.0,Barisal
2007-12-05,19.71,86.99,0.0,Barisal
2007-12-06,19.72,84.66,0.0,Barisal
2007-12-07,20.18,84.03,0.0,Barisal
2007-12-08,19.91,82.17,0.0,Barisal
2007-12-09,18.72,83.69,0.0,Barisal
2007-12-10,18.19,83.42,0.0,Barisal
2007-12-11,18.21,82.38,0.0,Barisal
2007-12-12,18.05,82.3,0.0,Barisal
2007-12-13,18.56,84.67,0.0,Barisal
2007-12-14,19.06,85.02,0.0,Barisal
2007-12-15,19.3,85.49,0.0,Barisal
2007-12-16,18.71,83.48,0.0,Barisal
2007-12-17,17.12,78.64,0.0,Barisal
2007-12-18,16.75,82.84,0.0,Barisal
2007-12-19,16.93,84.37,0.0,Barisal
2007-12-20,16.27,81.34,0.0,Barisal
2007-12-21,16.07,76.36,0.0,Barisal
2007-12-22,17.81,65.96,0.0,Barisal
2007-12-23,18.64,70.26,0.0,Barisal
2007-12-24,17.45,78.89,0.0,Barisal
2007-12-25,17.53,82.58,0.0,Barisal
2007-12-26,17.66,83.04,0.0,Barisal
2007-12-27,17.73,83.05,0.0,Barisal
2007-12-28,17.39,82.79,0.0,Barisal
2007-12-29,17.1,81.75,0.0,Barisal
2007-12-30,17.05,85.49,0.0,Barisal
2007-12-31,16.7,85.15,0.0,Barisal
2008-01-01,16.92,82.94,0.0,Barisal
2008-01-02,16.82,86.87,0.0,Barisal
2008-01-03,18.56,81.59,0.0,Barisal
2008-01-04,17.91,82.38,0.0,Barisal
2008-01-05,16.96,76.14,0.0,Barisal
2008-01-06,16.81,77.75,0.0,Barisal
2008-01-07,17.76,80.37,0.0,Barisal
2008-01-08,18.1,80.34,0.0,Barisal
2008-01-09,18.15,80.13,0.0,Barisal
2008-01-10,18.81,75.48,0.0,Barisal
2008-01-11,20.24,71.09,0.0,Barisal
2008-01-12,19.91,71.65,0.0,Barisal
2008-01-13,18.37,76.57,0.0,Barisal
2008-01-14,17.43,68.19,0.0,Barisal
2008-01-15,17.19,68.18,0.0,Barisal
2008-01-16,17.38,69.93,0.0,Barisal
2008-01-17,17.94,76.58,0.0,Barisal
2008-01-18,19.54,74.82,0.0,Barisal
2008-01-19,20.2,75.38,0.0,Barisal
2008-01-20,20.52,84.69,0.0,Barisal
2008-01-21,21.06,83.65,0.56,Barisal
2008-01-22,18.52,77.97,0.0,Barisal
2008-01-23,17.4,66.93,0.0,Barisal
2008-01-24,18.06,74.22,0.43,Barisal
2008-01-25,18.24,84.62,4.44,Barisal
2008-01-26,18.28,89.65,15.77,Barisal
2008-01-27,17.34,82.29,11.88,Barisal
2008-01-28,16.75,70.86,0.0,Barisal
2008-01-29,16.8,60.37,0.0,Barisal
2008-01-30,17.9,65.43,0.06,Barisal
2008-01-31,18.3,77.38,0.5,Barisal
2008-02-01,17.56,73.47,0.0,Barisal
2008-02-02,15.81,66.75,0.0,Barisal
2008-02-03,15.46,70.22,0.0,Barisal
2008-02-04,16.86,68.51,0.0,Barisal
2008-02-05,18.77,67.0,0.0,Barisal
2008-02-06,20.47,68.61,0.0,Barisal
2008-02-07,22.41,66.69,0.0,Barisal
2008-02-08,21.87,78.13,0.0,Barisal
2008-02-09,20.82,88.97,0.96,Barisal
2008-02-10,20.21,80.08,7.78,Barisal
2008-02-11,18.1,64.85,0.0,Barisal
2008-02-12,17.25,66.11,0.0,Barisal
2008-02-13,17.36,63.3,0.0,Barisal
2008-02-14,17.29,58.0,0.0,Barisal
2008-02-15,16.8,60.18,0.0,Barisal
2008-02-16,18.14,59.56,0.0,Barisal
2008-02-17,19.95,65.47,0.0,Barisal
2008-02-18,20.96,83.01,0.0,Barisal
2008-02-19,21.64,81.53,1.8,Barisal
2008-02-20,21.24,79.9,5.91,Barisal
2008-02-21,20.7,71.31,0.0,Barisal
2008-02-22,21.19,61.35,0.0,Barisal
2008-02-23,21.75,59.03,0.0,Barisal
2008-02-24,21.99,71.33,0.0,Barisal
2008-02-25,22.29,77.19,0.0,Barisal
2008-02-26,23.46,70.56,0.0,Barisal
2008-02-27,22.12,60.91,0.0,Barisal
2008-02-28,21.35,54.99,0.0,Barisal
2008-02-29,22.5,52.3,0.0,Barisal
2008-03-01,22.57,58.21,0.0,Barisal
2008-03-02,23.21,79.97,0.0,Barisal
2008-03-03,24.49,75.51,0.46,Barisal
2008-03-04,23.85,78.85,6.4,Barisal
2008-03-05,23.89,78.3,1.39,Barisal
2008-03-06,24.18,78.53,0.15,Barisal
2008-03-07,25.32,75.14,0.0,Barisal
2008-03-08,25.28,74.51,0.0,Barisal
2008-03-09,25.49,69.03,0.0,Barisal
2008-03-10,25.58,66.68,0.0,Barisal
2008-03-11,26.15,65.22,0.0,Barisal
2008-03-12,26.09,62.55,0.0,Barisal
2008-03-13,26.31,70.47,0.0,Barisal
2008-03-14,26.35,67.01,0.0,Barisal
2008-03-15,27.25,57.95,0.0,Barisal
2008-03-16,27.56,57.17,0.0,Barisal
2008-03-17,27.99,57.54,0.0,Barisal
2008-03-18,27.87,60.85,0.0,Barisal
2008-03-19,28.2,69.47,0.22,Barisal
2008-03-20,27.98,72.48,0.34,Barisal
2008-03-21,28.71,69.17,0.02,Barisal
2008-03-22,28.62,68.73,0.35,Barisal
2008-03-23,28.76,69.66,1.06,Barisal
2008-03-24,27.59,67.25,0.08,Barisal
2008-03-25,28.81,63.54,0.0,Barisal
2008-03-26,28.17,70.08,0.0,Barisal
2008-03-27,28.7,69.34,0.1,Barisal
2008-03-28,29.32,67.02,0.49,Barisal
2008-03-29,28.63,71.2,0.17,Barisal
2008-03-30,28.62,68.64,0.25,Barisal
2008-03-31,28.47,70.39,0.06,Barisal
2008-04-01,28.85,64.01,0.11,Barisal
2008-04-02,28.91,60.7,0.83,Barisal
2008-04-03,28.4,68.25,8.41,Barisal
2008-04-04,28.18,68.57,2.32,Barisal
2008-04-05,27.94,63.23,0.27,Barisal
2008-04-06,28.41,57.38,0.29,Barisal
2008-04-07,28.14,55.92,0.0,Barisal
2008-04-08,28.0,47.32,0.0,Barisal
2008-04-09,27.97,46.33,0.0,Barisal
2008-04-10,28.3,49.24,0.0,Barisal
2008-04-11,28.51,59.4,0.0,Barisal
2008-04-12,30.26,57.65,0.0,Barisal
2008-04-13,29.42,69.84,0.89,Barisal
2008-04-14,29.72,68.79,2.12,Barisal
2008-04-15,29.7,67.73,0.06,Barisal
2008-04-16,29.65,69.36,0.0,Barisal
2008-04-17,30.5,68.36,0.12,Barisal
2008-04-18,30.54,69.6,0.18,Barisal
2008-04-19,31.0,68.64,0.0,Barisal
2008-04-20,31.7,62.05,0.0,Barisal
2008-04-21,31.69,58.9,0.0,Barisal
2008-04-22,31.7,60.06,0.0,Barisal
2008-04-23,31.64,60.5,0.0,Barisal
2008-04-24,31.23,63.07,0.0,Barisal
2008-04-25,30.94,62.43,0.0,Barisal
2008-04-26,30.89,63.89,0.0,Barisal
2008-04-27,30.61,67.1,0.0,Barisal
2008-04-28,30.86,67.09,0.03,Barisal
2008-04-29,31.21,66.92,0.1,Barisal
2008-04-30,31.31,66.99,0.0,Barisal
2008-05-01,31.2,66.54,0.0,Barisal
2008-05-02,31.01,68.24,0.65,Barisal
2008-05-03,30.34,69.24,2.43,Barisal
2008-05-04,31.49,64.38,1.91,Barisal
2008-05-05,30.88,68.44,6.5,Barisal
2008-05-06,30.16,69.65,9.66,Barisal
2008-05-07,29.78,72.37,1.23,Barisal
2008-05-08,29.49,74.09,5.13,Barisal
2008-05-09,29.23,72.82,3.51,Barisal
2008-05-10,29.94,72.2,0.72,Barisal
2008-05-11,30.97,68.91,1.64,Barisal
2008-05-12,30.88,68.05,0.15,Barisal
2008-05-13,30.83,63.91,0.02,Barisal
2008-05-14,31.62,62.42,0.1,Barisal
2008-05-15,31.92,63.43,0.73,Barisal
2008-05-16,30.14,73.86,5.79,Barisal
2008-05-17,31.07,73.4,9.03,Barisal
2008-05-18,30.75,77.21,5.15,Barisal
2008-05-19,29.51,78.42,8.82,Barisal
2008-05-20,30.97,68.08,1.33,Barisal
2008-05-21,31.42,66.23,0.01,Barisal
2008-05-22,31.01,66.34,0.4,Barisal
2008-05-23,30.15,68.96,1.18,Barisal
2008-05-24,30.03,70.79,3.23,Barisal
2008-05-25,28.68,78.32,14.6,Barisal
2008-05-26,28.83,78.29,5.11,Barisal
2008-05-27,28.69,82.51,7.57,Barisal
2008-05-28,29.41,79.63,4.55,Barisal
2008-05-29,30.34,75.56,0.94,Barisal
2008-05-30,29.99,81.71,2.57,Barisal
2008-05-31,29.34,80.73,2.1,Barisal
2008-06-01,29.63,76.85,4.16,Barisal
2008-06-02,28.95,83.16,12.19,Barisal
2008-06-03,29.2,77.25,12.23,Barisal
2008-06-04,28.95,77.87,6.2,Barisal
2008-06-05,28.6,86.89,13.06,Barisal
2008-06-06,28.23,81.25,3.52,Barisal
2008-06-07,27.91,88.17,11.13,Barisal
2008-06-08,27.7,88.68,2.09,Barisal
2008-06-09,27.84,86.03,15.39,Barisal
2008-06-10,28.18,88.16,18.43,Barisal
2008-06-11,28.84,87.21,1.46,Barisal
2008-06-12,29.29,85.09,1.89,Barisal
2008-06-13,29.33,84.22,0.0,Barisal
2008-06-14,29.18,85.74,0.71,Barisal
2008-06-15,28.93,86.7,4.17,Barisal
2008-06-16,28.55,87.13,16.09,Barisal
2008-06-17,28.16,86.5,52.47,Barisal
2008-06-18,28.27,85.64,20.75,Barisal
2008-06-19,28.2,86.78,11.14,Barisal
2008-06-20,27.83,89.67,5.7,Barisal
2008-06-21,28.55,85.92,2.77,Barisal
2008-06-22,28.6,83.96,9.17,Barisal
2008-06-23,27.98,84.84,9.54,Barisal
2008-06-24,28.79,83.71,0.17,Barisal
2008-06-25,28.76,84.78,0.04,Barisal
2008-06-26,28.77,87.81,1.2,Barisal
2008-06-27,28.19,91.01,4.87,Barisal
2008-06-28,27.86,90.42,13.57,Barisal
2008-06-29,27.67,91.4,28.61,Barisal
2008-06-30,28.16,87.29,19.32,Barisal
2008-07-01,27.93,88.41,26.04,Barisal
2008-07-02,28.2,88.88,30.21,Barisal
2008-07-03,28.14,89.68,23.61,Barisal
2008-07-04,28.0,89.92,21.2,Barisal
2008-07-05,27.86,91.05,15.61,Barisal
2008-07-06,27.76,89.44,14.9,Barisal
2008-07-07,27.16,92.93,44.13,Barisal
2008-07-08,27.44,91.11,27.09,Barisal
2008-07-09,27.38,90.65,6.38,Barisal
2008-07-10,27.59,91.26,7.76,Barisal
2008-07-11,27.65,90.86,7.37,Barisal
2008-07-12,28.01,89.98,28.11,Barisal
2008-07-13,28.13,90.12,30.67,Barisal
2008-07-14,27.69,91.36,57.77,Barisal
2008-07-15,27.65,90.76,11.69,Barisal
2008-07-16,27.98,89.89,4.07,Barisal
2008-07-17,28.48,90.47,4.17,Barisal
2008-07-18,28.48,88.47,8.31,Barisal
2008-07-19,27.44,89.58,0.41,Barisal
2008-07-20,27.94,89.2,2.87,Barisal
2008-07-21,28.13,87.45,5.34,Barisal
2008-07-22,28.3,87.7,1.22,Barisal
2008-07-23,28.28,88.79,1.09,Barisal
2008-07-24,28.38,90.96,3.4,Barisal
2008-07-25,27.97,92.45,4.99,Barisal
2008-07-26,27.84,91.95,5.92,Barisal
2008-07-27,28.13,90.21,3.74,Barisal
2008-07-28,27.9,89.91,1.25,Barisal
2008-07-29,27.93,90.35,2.01,Barisal
2008-07-30,27.83,90.45,3.52,Barisal
2008-07-31,28.17,89.19,2.71,Barisal
2008-08-01,27.85,90.43,0.13,Barisal
2008-08-02,27.91,89.65,0.12,Barisal
2008-08-03,27.42,90.19,0.52,Barisal
